"Fips","Name"
1,"Albany"
3,"Allegany"
5,"Bronx"
7,"Broome"
9,"Cattaraugus"
11,"Cayuga"
13,"Chautauqua"
15,"Chemung"
17,"Chenango"
19,"Clinton"
21,"Columbia"
23,"Cortland"
25,"Delaware"
27,"Dutchess"
29,"Erie"
31,"Essex"
33,"Franklin"
35,"Fulton"
37,"Genesee"
39,"Greene"
41,"Hamilton"
43,"Herkimer"
45,"Jefferson"
47,"Kings"
49,"Lewis"
51,"Livingston"
53,"Madison"
55,"Monroe"
57,"Montgomery"
59,"Nassau"
61,"New York"
63,"Niagara"
65,"Oneida"
67,"Onondaga"
69,"Ontario"
71,"Orange"
73,"Orleans"
75,"Oswego"
77,"Otsego"
79,"Putnam"
81,"Queens"
83,"Rensselaer"
85,"Richmond"
87,"Rockland"
89,"St. Lawrence"
91,"Saratoga"
93,"Schenectady"
95,"Schoharie"
97,"Schuyler"
99,"Seneca"
101,"Steuben"
103,"Suffolk"
105,"Sullivan"
107,"Tioga"
109,"Tompkins"
111,"Ulster"
113,"Warren"
115,"Washington"
117,"Wayne"
119,"Westchester"
121,"Wyoming"
123,"Yates"
